Fecha,Medias,Desviaciones
2021/1/27,12.332708995494874,0.5691550326041991
2021/2/3,13.533531123911079,0.27768410943621763
2021/2/12,14.204811501947573,0.19726242520064993
2021/2/17,14.608444702311232,0.3268680212462657
2021/2/24,14.941734308064428,0.19251435210067175
2021/3/5,14.806842076704564,0.1804718761887299
2021/3/10,15.00766714197637,0.41271377791464514
2021/3/15,16.59106018986185,0.5244186243308153
2021/3/24,15.386116604334749,0.241501514860523
2021/4/6,18.093951003138677,0.3588543063588826
2021/4/13,17.66943806377387,0.1198297478544078
2021/4/20,17.910661236215358,0.3101638178850622
2021/4/27,18.302458837463323,0.15223167010588562
2021/5/6,20.863426927033984,0.521381465721422
2021/5/13,21.98727126482856,0.1760058156353438
2021/5/20,23.445138802196286,0.28364038781063017
2021/5/25,22.825879185871536,0.544274551378734
2021/6/2,23.23737668166075,0.2726340306825503
2021/6/8,24.96858492107044,0.3789146092387451
2021/6/14,25.54287995601967,0.12123538022266528
2021/6/22,25.865999579287898,0.16879971973291857
2021/7/1,27.257426270569724,0.17800261998160097
2021/7/6,28.825722652370494,0.3628113868897136
2021/7/14,28.119889956542274,0.3923931018076771
2021/7/20,28.564961776544823,0.20322134243574067
2021/7/27,28.94955373295227,0.13943536470816714
2021/8/3,28.646155656916978,0.1077674112670423
2021/8/9,28.922466643767695,0.2966807541634326
2021/8/13,28.593749624491856,0.446646224110389
2021/8/16,29.805870961713282,0.35319628504490064
2021/8/19,29.53423558322235,0.26317157069889724
2021/8/24,28.599952195166765,0.278457604930406
2021/8/26,28.343060170848517,0.3156782038707395
2021/8/30,29.149057306057895,0.3935567330899391
2021/9/2,27.94741290620119,0.17855724038436224
2021/9/13,28.00794901781301,0.21186903089941636
2021/9/20,26.599310529581874,0.16491791191105334
2021/9/27,25.08478264292163,0.20443101387544171
2021/9/30,25.3948716779397,0.25268265564098646
2021/10/7,23.554661786926978,0.15423149604261133
